Problem,,,Constructive Algorithm,,,,,,,,,,Local Search,,,,GRASP,,Known upper bound
Name,|V|,|E|,Simple Randomized,,,Simple Greedy,,,Semi Greedy,,,,Simple First Fit,,,,Simple Grasp,,
,,,Iteration,Avg Value,Best Value,Iteration,Avg Value,Best Value,Iteration,Alpha,Avg Value,Best Value,Shoulder Fit,MAX Iteration,Avg. Iteration,Avg Value,Iteration,Best Value,
G1,800,19176,30,9570.76,9730,30,11264.5,11335,30,0.1,11022.53,11104,FALSE,300,87.25,11396,20,11453,11453
,,,,,,,,,,0.2,11021.56,11095,,,,,,,
,,,,,,,,,,0.3,11029.16,11115,,,,,,,
,,,,,,,,,,0.4,11061.96,11172,,,,,,,
,,,,,,,,,,0.5,11135.63,11207,,,,,,,
,,,,,,,,,,0.6,11163.96,11218,,,,,,,
,,,,,,,,,,0.7,11193.5,11265,,,,,,,
,,,,,,,,,,0.8,11212.13,11279,,,,,,,
,,,,,,,,,,0.9,11231.43,11296,,,,,,,
,,,,,,,,,,randomized,11126.06,11234,,,,,,,
G2,800,19176,30,9589.6,9738,30,11270.73,11325,30,0.1,11026.76,11124,FALSE,250,88.88,11407.9,17,11461,11461
,,,,,,,,,,0.2,11033.63,11114,,,,,,,
,,,,,,,,,,0.3,11043.26,11144,,,,,,,
,,,,,,,,,,0.4,11075.43,11165,,,,,,,
,,,,,,,,,,0.5,11120.63,11185,,,,,,,
,,,,,,,,,,0.6,11179.66,11259,,,,,,,
,,,,,,,,,,0.7,11206.03,11263,,,,,,,
,,,,,,,,,,0.8,11239.63,11313,,,,,,,
,,,,,,,,,,0.9,11239.33,11318,,,,,,,
,,,,,,,,,,randomized,11122.26,11189,,,,,,,
G3,800,19176,30,9574.96,9718,30,11279.9,11339,30,0.1,11028.33,11089,FALSE,250,89.33,11401.3,15,11437,11437
,,,,,,,,,,0.2,11019.33,11107,,,,,,,
,,,,,,,,,,0.3,11041.8,11102,,,,,,,
,,,,,,,,,,0.4,11064.5,11136,,,,,,,
,,,,,,,,,,0.5,11131.86,11226,,,,,,,
,,,,,,,,,,0.6,11176.23,11251,,,,,,,
,,,,,,,,,,0.7,11203.46,11295,,,,,,,
,,,,,,,,,,0.8,11231.9,11319,,,,,,,
,,,,,,,,,,0.9,11238.3,11306,,,,,,,
,,,,,,,,,,randomized,11111.03,11194,,,,,,,
G11,800,1600,30,19.2,94,30,484.2,500,30,0.8,441,478,FALSE,250,7.86,479.067,15,498,498
G12,800,1600,30,-1.53,44,30,474.73,488,30,0.8,447.73,466,FALSE,250,9.53,465.73,15,486,486
G13,800,1600,30,13.8,62,30,500.6,524,30,0.8,471.73,494,FALSE,250,8.53,488,15,512,512
G43,1000,9990,30,4982.33,5067,30,6389.26,6446,30,0.8,6354.56,6412,FALSE,250,61.93,6454.87,15,6490,6490
G44,1000,9990,30,5009.13,5096,30,6379.6,6423,30,0.8,6350.93,6400,FALSE,250,58.26,6444.86,15,6471,6471
G45,1000,9990,30,4996.06,5081,30,6385.6,6441,30,0.8,6351.23,6386,FALSE,250,62.2,6450.73,15,6517,6517
G22,2000,19990,30,9982.5,10110,30,12807,12866,30,0.8,12741.2,12826,,,,,,,
G23,2000,19990,30,10004,10109,30,12813.8,12857,30,0.8,12740.2,12789,,,,,,,
G24,2000,19990,30,10022.6,10153,30,12781.5,12820,30,0.8,12747.7,12797,,,,,,,
G14,800,4694,30,2336.5,2400,30,2947.3,2965,30,0.8,2937.1,2958,FALSE,250,23.73,2969.67,15,2988,2988
G15,800,4694,30,2326.36,2392,30,2921.2,2944,30,0.8,2920.53,2951,FALSE,250,23.8,2949.66,15,2968,2968
G16,800,4694,30,2341.7,2439,30,2928.5,2949,30,0.8,2922.66,2952,FALSE,250,24.6,2953.93,15,2972,2972